Subject,Start Date,Due Date,Reminder on/off,Reminder Date,Reminder Time,Categories,Importance,Status,Description
我已经开始修复了。密码重置的问题应该明天就能解决，移动端的问题可能需要多一点时间，但周五之前应该可以完成。另外，我发现我们的日志系统有些问题，建议我们升级一下日志库。这个比较紧急，因为现在排错很困难。,,2026-06-01,FALSE,,,我这边已经完成了基本功能的测试，发现了两个bug。一个是密码重置功能在某些情况下,High,Not Started,"
负责人: 团队"
日志系统的问题确实很重要。那王五你负责评估一下升级方案，下周一之前给出报告。赵六你那边的前端工作进展如何？,,2026-06-08,FALSE,,,我这边已经完成了基本功能的测试，发现了两个bug。一个是密码重置功能在某些情况下,High,Not Started,"
负责人: 王五"
上线时间推迟到2024年1月26日,,2024-01-26,FALSE,,,好的，那今天的会议就到这里。我们来总结一下今天的行动项：,Normal,Not Started,
同意。赵六你负责联系UI团队，看看他们下周什么时候有空。关于权限控制，李四你这边能不能先提供一下API文档？,,2026-06-07,FALSE,,,好的，日志系统的问题确实很重要。那王五你负责评估一下升级方案，下周一之前给出报告,Normal,Not Started,"
负责人: 赵六"
大家好，今天我们来开这周的项目周会。首先我来汇报一下上周的进展。我们已经完成了用户登录模块的开发，李四你那边测试怎么样？,,,FALSE,,,Meeting,Normal,Not Started,"
负责人: 团队"
我这边主要在做用户管理页面。目前基本的CRUD功能已经完成了，但是我觉得界面设计还需要优化。另外，权限控制部分还需要和后端对接。我建议我们请UI团队帮忙看一下设计，这个可以安排在下周。,,2026-06-07,FALSE,,,好的，日志系统的问题确实很重要。那王五你负责评估一下升级方案，下周一之前给出报告,Normal,Not Started,"
负责人: 赵六"
我这边已经完成了基本功能的测试，发现了两个bug。一个是密码重置功能在某些情况下会失败，另一个是登录页面在移动端显示有问题。我已经把这些bug指派给了王五，他需要在本周五之前修复完成。,,2026-06-05,FALSE,,,Meeting,Normal,Not Started,"
负责人: 李四"
李四今天下班前提供权限控制的API文档,,,FALSE,,,好的，那今天的会议就到这里。我们来总结一下今天的行动项：,Normal,Not Started,
王五负责评估日志系统升级方案，下周一（2024年1月22日）之前给出报告,,2024-01-22,FALSE,,,好的，那今天的会议就到这里。我们来总结一下今天的行动项：,Normal,Not Started,"
负责人: 王五"
王五需要在本周五（2024年1月19日）之前修复登录模块的两个bug,,2024-01-19,FALSE,,,好的，那今天的会议就到这里。我们来总结一下今天的行动项：,Normal,Not Started,"
负责人: 王五"
赵六负责联系UI团队优化用户管理页面设计,,,FALSE,,,好的，那今天的会议就到这里。我们来总结一下今天的行动项：,Normal,Not Started,"
负责人: 赵六"
