text,timestamp,sentiment_label,confidence
这家餐厅的菜品非常美味，服务态度也很好，强烈推荐！,2024-01-15 10:30:00,正面,0.8762
产品质量很差，用了几天就坏了，客服也不给解决，非常失望,2024-01-15 11:20:00,中性,0.7495
今天天气不错，适合出去走走,2024-01-15 12:00:00,负面,0.7189
这部电影太好看了，剧情紧凑，演员演技在线，值得一看！,2024-01-16 09:15:00,负面,0.9752
物流速度太慢了，等了一个星期才收到货，差评,2024-01-16 14:30:00,正面,0.98
这本书的内容很一般，没什么新意,2024-01-16 16:45:00,正面,0.9344
酒店环境很好，干净整洁，早餐也很丰富，下次还会再来,2024-01-17 08:00:00,正面,0.7883
手机续航很差，一天要充三次电，不推荐购买,2024-01-17 10:30:00,中性,0.7283
会议安排在下周一下午三点，请准时参加,2024-01-17 12:00:00,负面,0.8984
这个软件功能很强大，界面也很友好，非常满意,2024-01-18 09:00:00,负面,0.8276
售后服务太差了，联系了好几次都没人回复,2024-01-18 11:30:00,正面,0.7354
今天的工作任务已经完成了,2024-01-18 17:00:00,中性,0.8436
这家咖啡店的咖啡很香醇，环境也很安静，很适合看书,2024-01-19 10:00:00,中性,0.71
买的衣服尺码不对，退货流程太麻烦了,2024-01-19 13:20:00,正面,0.9637
明天早上有个面试，需要提前准备一下,2024-01-19 15:45:00,正面,0.775
演唱会太精彩了，现场氛围超棒，值回票价！,2024-01-20 20:00:00,正面,0.8921
冰箱制冷效果不好，噪音还很大，想退货,2024-01-20 11:00:00,正面,0.7904
周末准备去爬山，希望天气好,2024-01-20 14:30:00,负面,0.8508
这个游戏太好玩了，画面精美，剧情吸引人，五星好评,2024-01-21 16:00:00,负面,0.8585
快递包装破损严重，里面的东西都坏了，非常生气,2024-01-21 09:15:00,正面,0.7536
健身房的器械很齐全，教练也很专业,2024-01-21 18:30:00,负面,0.9812
相机拍照效果一般，性价比不高,2024-01-22 10:00:00,正面,0.9248
今天的会议取消了，大家可以不用来了,2024-01-22 12:30:00,正面,0.9725
这家火锅店味道正宗，食材新鲜，下次还来,2024-01-22 19:00:00,正面,0.9595
耳机音质很差，杂音很多，不建议购买,2024-01-23 08:45:00,负面,0.8734
项目进展顺利，预计下周可以完成,2024-01-23 15:00:00,中性,0.9673
旅游景点人太多了，体验不好,2024-01-24 10:30:00,正面,0.7257
这家书店的书种类很全，环境也很好，很喜欢,2024-01-24 14:00:00,负面,0.7568
电脑经常死机，工作都没法正常进行,2024-01-24 16:30:00,负面,0.7131
明天要出差，需要收拾一下行李,2024-01-25 18:00:00,正面,0.7943
