ID,优先级,任务,负责人,截止日期,描述,相关主题,是否重复,关联ID
524a5dc6,high,我已经开始修复了。密码重置的问题应该明天就能解决，移动端的问题可能需要多一点时间，但周五之前应该可以完成。另外，我发现我们的日志系统有些问题，建议我们升级一下日志库。这个比较紧急，因为现在排错很困难。,团队,2026-06-01,,我这边已经完成了基本功能的测试，发现了两个bug。一个是密码重置功能在某些情况下,False,
49e20f8a,high,日志系统的问题确实很重要。那王五你负责评估一下升级方案，下周一之前给出报告。赵六你那边的前端工作进展如何？,王五,2026-06-08,,我这边已经完成了基本功能的测试，发现了两个bug。一个是密码重置功能在某些情况下,False,
142a533a,medium,上线时间推迟到2024年1月26日,,2024-01-26,,好的，那今天的会议就到这里。我们来总结一下今天的行动项：,False,
6a45dfb6,medium,同意。赵六你负责联系UI团队，看看他们下周什么时候有空。关于权限控制，李四你这边能不能先提供一下API文档？,赵六,2026-06-07,,好的，日志系统的问题确实很重要。那王五你负责评估一下升级方案，下周一之前给出报告,False,
0cc888b1,medium,大家好，今天我们来开这周的项目周会。首先我来汇报一下上周的进展。我们已经完成了用户登录模块的开发，李四你那边测试怎么样？,团队,,,,False,
75513bd2,medium,我这边主要在做用户管理页面。目前基本的CRUD功能已经完成了，但是我觉得界面设计还需要优化。另外，权限控制部分还需要和后端对接。我建议我们请UI团队帮忙看一下设计，这个可以安排在下周。,赵六,2026-06-07,,好的，日志系统的问题确实很重要。那王五你负责评估一下升级方案，下周一之前给出报告,False,
45442214,medium,我这边已经完成了基本功能的测试，发现了两个bug。一个是密码重置功能在某些情况下会失败，另一个是登录页面在移动端显示有问题。我已经把这些bug指派给了王五，他需要在本周五之前修复完成。,李四,2026-06-05,,,False,
f4c6a066,medium,李四今天下班前提供权限控制的API文档,,,,好的，那今天的会议就到这里。我们来总结一下今天的行动项：,False,
0caaea88,medium,王五负责评估日志系统升级方案，下周一（2024年1月22日）之前给出报告,王五,2024-01-22,,好的，那今天的会议就到这里。我们来总结一下今天的行动项：,False,
9dcaf1f5,medium,王五需要在本周五（2024年1月19日）之前修复登录模块的两个bug,王五,2024-01-19,,好的，那今天的会议就到这里。我们来总结一下今天的行动项：,False,
2512ad09,medium,赵六负责联系UI团队优化用户管理页面设计,赵六,,,好的，那今天的会议就到这里。我们来总结一下今天的行动项：,False,
