异味类型,分类,严重程度,文件路径,起始行,结束行,描述,维护问题,重构建议,是否误报,检测时间
temporary_field,maintainability,medium,demo_project/frontend/user_manager.js,5,5,临时字段 'this.permissions' 仅使用 1 次，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，增加理解和调试难度。,将 'this.permissions' 及其相关方法提取为独立类，或将该字段作为方法参数传递。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/frontend/user_manager.js,6,6,临时字段 'this.sessions' 仅使用 2 次，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，增加理解和调试难度。,将 'this.sessions' 及其相关方法提取为独立类，或将该字段作为方法参数传递。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/frontend/user_manager.js,8,8,临时字段 'this.tokens' 仅使用 2 次，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，增加理解和调试难度。,将 'this.tokens' 及其相关方法提取为独立类，或将该字段作为方法参数传递。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/frontend/user_manager.js,9,9,临时字段 'this.pendingRequests' 仅使用 1 次，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，增加理解和调试难度。,将 'this.pendingRequests' 及其相关方法提取为独立类，或将该字段作为方法参数传递。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/frontend/user_manager.js,10,10,临时字段 'this.emailQueue' 仅使用 2 次，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，增加理解和调试难度。,将 'this.emailQueue' 及其相关方法提取为独立类，或将该字段作为方法参数传递。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/frontend/user_manager.js,11,11,临时字段 'this.notifications' 仅使用 1 次，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，增加理解和调试难度。,将 'this.notifications' 及其相关方法提取为独立类，或将该字段作为方法参数传递。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/frontend/user_manager.js,13,13,临时字段 'this.tempRole' 仅使用 1 次，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，增加理解和调试难度。,将 'this.tempRole' 及其相关方法提取为独立类，或将该字段作为方法参数传递。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/frontend/user_manager.js,15,15,临时字段 'this.cache' 仅使用 1 次，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，增加理解和调试难度。,将 'this.cache' 及其相关方法提取为独立类，或将该字段作为方法参数传递。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/frontend/user_manager.js,16,16,临时字段 'this.config' 仅使用 1 次，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，增加理解和调试难度。,将 'this.config' 及其相关方法提取为独立类，或将该字段作为方法参数传递。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/frontend/user_manager.js,17,17,临时字段 'this.logger' 仅使用 1 次，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，增加理解和调试难度。,将 'this.logger' 及其相关方法提取为独立类，或将该字段作为方法参数传递。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/frontend/api_client.js,3,3,临时字段 'this.baseUrl' 仅使用 2 次，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，增加理解和调试难度。,将 'this.baseUrl' 及其相关方法提取为独立类，或将该字段作为方法参数传递。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/frontend/api_client.js,4,4,临时字段 'this.apiKey' 仅使用 2 次，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，增加理解和调试难度。,将 'this.apiKey' 及其相关方法提取为独立类，或将该字段作为方法参数传递。,否,2026-05-31 15:54:22
